Anger,Boredom,Disgust,Fear,Happiness,Emo_Neutral,Sadness,Aggressiv,Cheerful,Intoxicated,Nervous,Aff_Neutral,Tired,Disinterest,Normal,High Interest,Arousal,Valence,Filename
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.999999,0.055024,0.041260,0.229734,0.390639,0.264116,0.019228,0.153054,0.409549,0.437397,1.486464e-01,5.586558e-01,134_b_a.wav
0.000011,0.000011,0.004737,0.000000,0.000000,0.000001,0.995240,0.109856,0.257336,0.225120,0.147076,0.153414,0.107198,0.123127,0.844076,0.032797,7.642713e-02,2.730581e-01,134_c_a.wav
0.000046,0.000036,0.009493,0.000002,0.000000,0.000002,0.990421,0.036115,0.041028,0.504280,0.173117,0.185121,0.060339,0.055563,0.936780,0.007656,2.763337e-02,2.314537e-01,136_a_q.wav
0.000090,0.000030,0.002239,0.000011,0.000048,0.000014,0.997569,0.045184,0.346777,0.105605,0.058568,0.095844,0.348021,0.051485,0.903855,0.044660,-1.338577e-01,-1.752289e-02,137_a_q.wav
0.000050,0.000010,0.058103,0.000004,0.000001,0.000001,0.941832,0.027306,0.017623,0.826948,0.026783,0.087313,0.014027,0.076655,0.911141,0.012204,2.690328e-01,3.061765e-01,138_a_a.wav
0.000085,0.000049,0.013392,0.000004,0.000003,0.000002,0.986464,0.032432,0.013229,0.794894,0.065914,0.088913,0.004618,0.272756,0.540504,0.186740,2.627800e-01,4.258090e-01,138_b_a.wav
0.000075,0.000008,0.314947,0.000006,0.000078,0.000001,0.684883,0.110411,0.244805,0.507437,0.018926,0.067276,0.051146,0.030560,0.959435,0.010005,2.312105e-01,2.815123e-02,138_c_a.wav
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.045064,0.024879,0.592390,0.210771,0.122090,0.004807,0.316597,0.344459,0.338944,6.054234e-01,8.105000e-01,138_d_a.wav
0.000004,0.000005,0.003089,0.000000,0.000001,0.000000,0.996901,0.050863,0.138928,0.518120,0.039075,0.162170,0.090844,0.039114,0.938805,0.022081,6.651030e-02,1.723141e-01,139_a_q.wav
0.000107,0.000715,0.003597,0.000009,0.000052,0.000091,0.995429,0.052349,0.336027,0.121188,0.053737,0.130481,0.306219,0.020288,0.966011,0.013701,-1.003952e-01,5.897897e-02,13_a_q.wav
0.000050,0.000014,0.005426,0.000001,0.000020,0.000002,0.994488,0.064480,0.332672,0.169068,0.056599,0.139605,0.237575,0.023013,0.949442,0.027545,-2.102529e-02,1.290091e-01,140_a_q.wav
0.009664,0.259257,0.048047,0.005660,0.008790,0.054429,0.614152,0.128646,0.280262,0.140390,0.020162,0.031640,0.398901,0.003178,0.959200,0.037622,7.074680e-02,5.125186e-02,141_a_q.wav
0.000003,0.000002,0.001967,0.000000,0.000002,0.000000,0.998026,0.031239,0.150425,0.541699,0.039043,0.098808,0.138786,0.049050,0.928057,0.022893,1.965979e-02,1.028592e-01,142_a_q.wav
0.000003,0.000002,0.038282,0.000001,0.000001,0.000000,0.961711,0.011095,0.017588,0.932264,0.021859,0.013189,0.004006,0.128724,0.828538,0.042738,1.561442e-01,3.085199e-01,143_a_a.wav
0.000037,0.000022,0.008763,0.000002,0.000001,0.000001,0.991174,0.050670,0.026916,0.627440,0.176293,0.110415,0.008265,0.242655,0.622312,0.135033,3.952352e-01,7.343386e-01,143_b_a.wav
0.000090,0.000016,0.050539,0.000004,0.000002,0.000001,0.949348,0.077235,0.164814,0.645882,0.030860,0.056517,0.024693,0.049431,0.716812,0.233757,3.005679e-01,3.230261e-01,143_c_a.wav
0.000172,0.000229,0.022946,0.000014,0.000008,0.000013,0.976617,0.127512,0.427390,0.173555,0.066672,0.093738,0.111133,0.055088,0.927917,0.016994,7.562232e-02,1.654802e-01,144_a_q.wav
0.000013,0.000009,0.004369,0.000000,0.000003,0.000001,0.995604,0.107159,0.261113,0.173212,0.080757,0.254603,0.123155,0.031192,0.962905,0.005903,1.727619e-03,1.922288e-01,145_a_q.wav
0.000017,0.000019,0.006396,0.000001,0.000001,0.000001,0.993563,0.134328,0.358520,0.192499,0.074591,0.122846,0.117216,0.057591,0.898996,0.043413,1.962500e-01,2.454969e-01,146_a_q.wav
0.000139,0.000137,0.017271,0.000008,0.000003,0.000007,0.982434,0.032686,0.068277,0.814781,0.033414,0.037982,0.012860,0.087780,0.891554,0.020666,1.624119e-01,3.928524e-01,147_a_a.wav
0.000025,0.000016,0.007093,0.000001,0.000001,0.000001,0.992863,0.034858,0.032625,0.703821,0.147666,0.068276,0.012754,0.206519,0.646085,0.147395,2.782676e-01,5.421381e-01,148_a_q.wav
0.001187,0.000139,0.193408,0.000032,0.000479,0.000013,0.804743,0.269241,0.332874,0.184594,0.034183,0.114968,0.064140,0.003669,0.854971,0.141360,2.906015e-01,7.983817e-02,149_a_a.wav
0.001087,0.000181,0.775389,0.000047,0.000196,0.000014,0.223086,0.260281,0.276844,0.244102,0.028867,0.139769,0.050136,0.008193,0.989228,0.002579,2.146230e-01,2.766117e-02,149_b_a.wav
0.000074,0.000013,0.565547,0.000003,0.000014,0.000001,0.434348,0.050670,0.075763,0.801901,0.006149,0.058814,0.006702,0.030731,0.965139,0.004130,2.662937e-01,1.187222e-01,149_c_a.wav
0.000045,0.000035,0.009395,0.000003,0.000003,0.000002,0.990517,0.080741,0.179135,0.571134,0.046116,0.078026,0.044849,0.038820,0.953912,0.007267,2.777215e-01,3.213593e-01,14_a_a.wav
0.023474,0.115915,0.204791,0.009532,0.015020,0.026128,0.605139,0.138392,0.559076,0.090902,0.024109,0.057482,0.130038,0.004875,0.949223,0.045902,7.421390e-02,-7.722586e-02,14_b_a.wav
