Anger,Boredom,Disgust,Fear,Happiness,Emo_Neutral,Sadness,Aggressiv,Cheerful,Intoxicated,Nervous,Aff_Neutral,Tired,Disinterest,Normal,High Interest,Arousal,Valence,Filename
0.000145,0.001811,0.013424,0.000022,0.000120,0.000194,0.984284,0.101053,0.532495,0.093283,0.048325,0.086068,0.138777,0.051890,0.889427,0.058683,5.079506e-02,9.957486e-02,210_a_q.wav
0.002012,0.005058,0.560941,0.000140,0.000805,0.000420,0.430624,0.262202,0.413289,0.152663,0.033016,0.068497,0.070333,0.013260,0.855984,0.130756,1.944515e-01,9.680588e-02,211_a_a.wav
0.003066,0.020108,0.508207,0.000613,0.001379,0.001602,0.465024,0.171877,0.551812,0.099538,0.032438,0.072851,0.071484,0.016487,0.612370,0.371143,8.401762e-02,1.218920e-01,211_a_p.wav
0.001472,0.000201,0.781597,0.000057,0.000372,0.000018,0.216284,0.219181,0.451298,0.144761,0.034667,0.087932,0.062161,0.004398,0.587165,0.408436,1.211837e-01,3.425215e-02,211_b_a.wav
0.001971,0.001017,0.542253,0.000203,0.000680,0.000100,0.453776,0.266755,0.397051,0.163132,0.035454,0.067257,0.070351,0.012999,0.779704,0.207296,1.206681e-01,1.029179e-01,211_b_p.wav
0.002150,0.000635,0.402113,0.000120,0.000881,0.000052,0.594048,0.308701,0.376160,0.148832,0.031566,0.076752,0.057990,0.012832,0.477528,0.509641,2.089178e-01,1.645497e-01,211_c_p.wav
0.000127,0.000418,0.003284,0.000009,0.000125,0.000068,0.995968,0.126189,0.248000,0.163589,0.040547,0.114264,0.307411,0.009796,0.425803,0.564401,1.798567e-01,4.947055e-02,212_a_q.wav
0.001013,0.000154,0.773818,0.000053,0.000353,0.000014,0.224595,0.210171,0.457667,0.140672,0.034398,0.097545,0.059547,0.005077,0.537243,0.457680,1.213556e-01,5.950194e-02,213_a_q.wav
0.014703,0.256227,0.030101,0.030663,0.016058,0.024793,0.627456,0.124811,0.411832,0.110613,0.021300,0.032512,0.298932,0.007235,0.236980,0.755784,8.278178e-02,-1.158037e-01,214_a_a.wav
0.000259,0.000157,0.018436,0.000033,0.000138,0.000009,0.980967,0.098320,0.547653,0.083402,0.043889,0.060863,0.165873,0.020994,0.463467,0.515540,9.579780e-02,-1.961419e-02,214_a_p.wav
0.000752,0.003300,0.012185,0.000860,0.000790,0.000276,0.981837,0.074211,0.322061,0.099640,0.028291,0.028154,0.447643,0.015434,0.496274,0.488293,3.973989e-02,-1.710187e-02,214_b_a.wav
