ID,VideoTitle,Name,Sex,Academic Status,VideoID,IsNativeSpeaker
320,Question in Participatory Design of A VR Based Reentry Training,,Male,,i7kipIN2K6k,Native Speaker
321,Power Struggles and Disciplined Designers,Netta Iivari,Female,PhD,bSPU84SGG2c,Europ. Non-Native
322,Question in Power Struggles and Disciplined Designers,,Male,,bSPU84SGG2c,Native Speaker
323,Question in Power Struggles and Disciplined Designers,,Female,,bSPU84SGG2c,Europ. Non-Native
324,"Protection, Productivity and Pleasure in the Smart Home",Yolande Strengers,Female,PhD,-xpsXmlqKpU,Native Speaker
325,"Question in Protection, Productivity and Pleasure in the Smart Home",,Female,,-xpsXmlqKpU,Native Speaker
326,"Question in Protection, Productivity and Pleasure in the Smart Home",,Female,,-xpsXmlqKpU,Native Speaker
327,A Practice-Led Account of the Conceptual Evolution of UX Knowledge,Colin Gray,Male,PhD,8-tdWf0osyg,Native Speaker
328,Question in Practice-Led Account,,Female,,8-tdWf0osyg,Native Speaker
329,Question in Practice-Led Account,,Male,,8-tdWf0osyg,Native Speaker
330,Question in Practice-Led Account,,Male,,8-tdWf0osyg,Asian Non-Native
331,An Analytic Model for Time Efficient Personal Hierarchies,William Delamare,Male,PhD,oYTnveuVd0Q,Europ. Non-Native
332,Question in An Analytic Model for Time Efficient Personal Hierarchies,,Male,,oYTnveuVd0Q,Native Speaker
333,Question in An Analytic Model for Time Efficient Personal Hierarchies,,Male,,oYTnveuVd0Q,Native Speaker
334,App Usage Predicts Cognitive Ability in Older Adults,Mitchell L. Gordon,Male,Grad Student,8SblmVsILGM,Native Speaker
335,Question in App Usage Predicts Cognitive Ability in Older Adults,,Male,,8SblmVsILGM,Native Speaker
336,Question in App Usage Predicts Cognitive Ability in Older Adults,,Female,,8SblmVsILGM,Native Speaker
337,Question in App Usage Predicts Cognitive Ability in Older Adults,,Male,,8SblmVsILGM,Native Speaker
338,Around the (Virtual) World: Infinite Walking in VR Using Electrical Muscle Stimulation,Jona Auda,Male,Grad Student,EslqHPBSs3c,Europ. Non-Native
339,Qustion in Around the (Virtual) World,,Female,,EslqHPBSs3c,Europ. Non-Native
340,Qustion in Around the (Virtual) World,,Male,,EslqHPBSs3c,Native Speaker
341,Qustion in Around the (Virtual) World,,Male,,EslqHPBSs3c,Asian Non-Native
342,Qustion in Around the (Virtual) World,,Male,,EslqHPBSs3c,Europ. Non-Native
343,Augmented Reality Views for Occluded Interaction,Klemen Lilija,Male,Grad Student,nxf6xW_z_s4,Europ. Non-Native
344,Question in AR Views for Occluded Interaction,,Male,,nxf6xW_z_s4,Europ. Non-Native
345,Question in AR Views for Occluded Interaction,,Male,,nxf6xW_z_s4,Asian Non-Native
346,AutoFritz: Autocomplete for Prototyping Virtual Breadboard Circuits,Da-Yuan Huang,Male,PhD,SNFGHlzmA8k,Asian Non-Native
347,Question in AutoFritz,,Male,,SNFGHlzmA8k,Asian Non-Native
348,Question in AutoFritz,,Male,,SNFGHlzmA8k,Asian Non-Native
349,Beyond Dyadic Interactions: Considering Chatbots as Community Members,Joseph Seering,Male,Grad Student,KBwVGxg_ofU,Native Speaker
350,Question in Beyond Dyadic Interactions,,Female,,KBwVGxg_ofU,Native Speaker
351,Question in Beyond Dyadic Interactions,,Female,,KBwVGxg_ofU,Europ. Non-Native
352,Beyond Schematic Capture: Meaningful Abstractions for Better Electronics Design Tools,Richard Lin,Male,Grad Student,cm7mVGWaAyU,Native Speaker
353,Question in Beyond Schematic Capture,,Male,,cm7mVGWaAyU,Native Speaker
354,Blockchain Assemblages: Whiteboxing Technology and Transforming Infrastructural Imaginaries,Karim Jabbar,Male,PhD,QNEFdcc9_9g,Native Speaker
355,Question in Blockchain Assemblages,,Female,,QNEFdcc9_9g,Native Speaker
356,Decision-Making Under Uncertainty in Research Synthesis: Designing for the Garden of Forking Paths,Alex Kale,Male,Grad Student,Yzdqy7WR3Fg,Native Speaker
357,Question in Decision-Making Under Uncertainty in Research Synthesis,,Female,,Yzdqy7WR3Fg,Native Speaker
358,Design Guideline for Developing Safe Systems that Apply Electricity to the Human Body,Michinari Kono,Male,PhD,LEkOauR1Kog,Asian Non-Native
359,Question in Design Guidedline for Developing Safe Systems,,Male,,LEkOauR1Kog,Native Speaker
360,Question in Design Guidedline for Developing Safe Systems,,Female,,LEkOauR1Kog,Asian Non-Native
361,Designing Second-Screening Experiences for Social Co-Selection and Critical Co-Viewing of Reality TV,Tom Feltwell,Male,Grad Student,Bf1BDRRKATk,Native Speaker
362,Question in Designing Second-Screening Experiences,,Female,,Bf1BDRRKATk,Native Speaker
363,Question in Designing Second-Screening Experiences,,Female,,Bf1BDRRKATk,Native Speaker
364,Direct Finger Manipulation of 3D Object Image with Ultrasound Haptic Feedback,Atsushi Matsubayashi,Male,Grad Student,DrUfwi_0huU,Asian Non-Native
365,Question in Direct Finger Manipulation of 3D Object Image with Ultrasound Haptic Feedback,,Male,,DrUfwi_0huU,Native Speaker
366,Egocentric Smaller-person Experience through a Change in Visual Perspective,Jun Nishida,Male,PhD,qiGOvoS83Qs,Asian Non-Native
367,Question in Egocentric Smaller-person Experience,,Male,,qiGOvoS83Qs,Europ. Non-Native
368,Question in Egocentric Smaller-person Experience,,Female,,qiGOvoS83Qs,Europ. Non-Native
369,Question in Egocentric Smaller-person Experience,,Male,,qiGOvoS83Qs,Asian Non-Native
370,Empowering Expression for Users with Aphasia through Constrained Creativity,Timothy Neate,Male,PhD,xHkhdD-Ek58,Native Speaker
371,Question in Empowering Expression for Users,,Female,,xHkhdD-Ek58,Native Speaker
372,Question in Empowering Expression for Users,,Female,,xHkhdD-Ek58,Native Speaker
373,Question in Empowering Expression for Users,,Male,,xHkhdD-Ek58,Asian Non-Native
374,Encumbered Interaction: a Study of Musicians Preparing to Perform,Juan Pablo Martinez,Male,Grad Student,bh3YuiMqx84,Europ. Non-Native
375,Question in Encumbered Interaction,,Female,,bh3YuiMqx84,Europ. Non-Native
376,Evaluation of Appearance-Based Methods and Implications for Gaze-Based Applications,Xucong Zhang,Male,Grad Student,l8S1bQGYJdk,Asian Non-Native
377,Question in Evaluation of Appearance-Based Methods..,,Male,,l8S1bQGYJdk,Native Speaker
378,Question in Evaluation of Appearance-Based Methods..,,Female,,l8S1bQGYJdk,Europ. Non-Native
379,Question in Evaluation of Appearance-Based Methods..,,Male,,l8S1bQGYJdk,Native Speaker
380,Experimental Analysis of Barehand Mid-air Mode-Switching Techniques in VR,Hemant Bhaskar Surale,Male,Grad Student,-Dc3O10xP1g,Asian Non-Native
381,Question in Experimental Analysis of Barehand...,,Male,,-Dc3O10xP1g,Native Speaker
382,Question in Experimental Analysis of Barehand...,,Male,,-Dc3O10xP1g,Native Speaker
383,Explaining Decision-Making Algorithms through UI: Strategies to Help Non-Expert Stakeholders,Hao-Fei Cheng,Male,Grad Student,asIS1InULmQ,Asian Non-Native
384,Question in Explaining Decision-Making,,Male,,asIS1InULmQ,Asian Non-Native
385,Question in Explaining Decision-Making,,Female,,asIS1InULmQ,Native Speaker
386,Explorations on Single Usability Metrics,Michael Van Waardhuizen,Male,PhD,WQSJi95wEOk,Native Speaker
387,Question in Explorations on Single Usability Metrics,,Female,,WQSJi95wEOk,Native Speaker
388,Question in Explorations on Single Usability Metrics,,Female,,WQSJi95wEOk,Native Speaker
389,Question in Explorations on Single Usability Metrics,,Male,,WQSJi95wEOk,Europ. Non-Native
390,Exploring Virtual Agents for Augmented Reality,Isaac Wang,Male,Grad Student,UO7m89mFM2A,Native Speaker
391,Question in Exploring Virtual Agents for Augmented Reality,,Male,,UO7m89mFM2A,Europ. Non-Native
392,Question in Exploring Virtual Agents for Augmented Reality,,Male,,UO7m89mFM2A,Native Speaker
393,Question in Exploring Virtual Agents for Augmented Reality,,Male,,UO7m89mFM2A,Europ. Non-Native
394,Face and Ecological Validity in Simulations: Lessons from Search-and-Rescue HCI,Lorin Dole,Male,PhD,osZ5BxMpyNE,Native Speaker
395,Question in Face and Ecological Validity in Simulations,,Female,,osZ5BxMpyNE,Native Speaker
396,Question in Face and Ecological Validity in Simulations,,Male,,osZ5BxMpyNE,Europ. Non-Native
397,Question in Face and Ecological Validity in Simulations,,Female,,osZ5BxMpyNE,Asian Non-Native
