Anger,Boredom,Disgust,Fear,Happiness,Emo_Neutral,Sadness,Aggressiv,Cheerful,Intoxicated,Nervous,Aff_Neutral,Tired,Disinterest,Normal,High Interest,Arousal,Valence,Filename
0.000188,0.000754,0.008358,0.000017,0.000136,0.000104,0.990442,0.085703,0.374625,0.136983,0.034529,0.170118,0.198042,0.019338,0.953907,0.026755,-3.889392e-03,7.725309e-03,127_a_q.wav
0.000064,0.000430,0.009022,0.000003,0.000039,0.000052,0.990389,0.120751,0.315158,0.123919,0.042728,0.211495,0.185949,0.013964,0.952166,0.033870,2.884163e-02,1.018274e-02,128_a_q.wav
0.000169,0.000046,0.036068,0.000018,0.000090,0.000006,0.963603,0.105506,0.437878,0.157389,0.051079,0.104275,0.143873,0.049216,0.879349,0.071436,4.274381e-02,6.541168e-02,129_a_a.wav
0.001991,0.000288,0.138779,0.000289,0.001229,0.000022,0.857403,0.183309,0.451010,0.188238,0.033382,0.066574,0.077487,0.032369,0.784128,0.183503,1.497629e-01,9.568008e-02,129_b_a.wav
0.024121,0.535009,0.097579,0.017716,0.018049,0.139767,0.167759,0.119565,0.431127,0.093225,0.026219,0.233322,0.096542,0.008795,0.980770,0.010435,-1.724299e-01,-1.736473e-01,12_a_q.wav
0.000868,0.002440,0.127561,0.000092,0.000524,0.000178,0.868338,0.070230,0.444987,0.100484,0.039839,0.084196,0.260264,0.023215,0.926659,0.050126,5.782986e-02,-2.600804e-02,130_a_q.wav
0.004050,0.047232,0.040053,0.001393,0.002323,0.006790,0.898159,0.095573,0.569781,0.078739,0.033868,0.094178,0.127861,0.021757,0.963252,0.014992,-1.287358e-01,-3.448255e-02,131_a_q.wav
0.006859,0.006174,0.398286,0.000890,0.003089,0.000431,0.584272,0.134926,0.615848,0.102184,0.023906,0.049270,0.073866,0.011663,0.911903,0.076433,4.727991e-02,6.739230e-02,132_a_a.wav
0.002577,0.002869,0.292977,0.000190,0.000984,0.000168,0.700235,0.151292,0.570945,0.113859,0.027453,0.062709,0.073742,0.023430,0.936152,0.040417,9.688307e-02,9.500140e-02,132_b_a.wav
0.000882,0.008685,0.034294,0.000316,0.000516,0.001652,0.953655,0.087151,0.389639,0.159647,0.043132,0.195768,0.124663,0.021211,0.963699,0.015090,-1.056473e-01,-6.238792e-02,133_a_q.wav
0.001296,0.012571,0.035224,0.000303,0.000640,0.002006,0.947960,0.070878,0.482040,0.112050,0.042416,0.119076,0.173540,0.009548,0.972982,0.017470,-1.366109e-01,-1.101376e-01,133_b_q.wav
0.000500,0.000134,0.055804,0.000037,0.000283,0.000012,0.943230,0.138298,0.509695,0.106977,0.037691,0.079645,0.127695,0.020789,0.851580,0.127631,6.083795e-02,1.942559e-02,134_a_a.wav
0.000739,0.000679,0.060957,0.000123,0.000509,0.000044,0.936948,0.121051,0.526142,0.109946,0.037211,0.064870,0.140779,0.015240,0.831168,0.153592,-3.432122e-02,1.938384e-03,134_b_a.wav
0.001265,0.002513,0.029496,0.000333,0.000703,0.000159,0.965530,0.134716,0.527842,0.094747,0.042791,0.077428,0.122475,0.012979,0.692884,0.294137,-2.876820e-02,2.481945e-02,134_c_a.wav
0.001271,0.002154,0.111898,0.000054,0.000408,0.000196,0.884018,0.105097,0.453700,0.109253,0.045141,0.133626,0.153184,0.014911,0.964967,0.020122,-7.019383e-02,-1.128834e-01,136_a_q.wav
0.000090,0.000030,0.002239,0.000011,0.000048,0.000014,0.997569,0.045184,0.346777,0.105605,0.058568,0.095844,0.348021,0.051485,0.903855,0.044660,-1.338577e-01,-1.752289e-02,137_a_q.wav
0.001819,0.001473,0.325497,0.000209,0.000822,0.000139,0.670042,0.180800,0.435156,0.159798,0.030090,0.107087,0.087069,0.020524,0.950812,0.028665,1.599783e-01,9.968109e-03,138_a_a.wav
0.015008,0.090882,0.372880,0.006379,0.011453,0.017202,0.486196,0.172212,0.481281,0.153599,0.025863,0.082641,0.084404,0.012432,0.885532,0.102035,5.359290e-02,-1.701395e-01,138_b_a.wav
0.006392,0.022040,0.494361,0.000951,0.004082,0.002112,0.470063,0.210779,0.358699,0.179960,0.032138,0.051595,0.166830,0.011174,0.688001,0.300825,1.952251e-01,-1.135169e-01,138_c_a.wav
0.000309,0.000028,0.186385,0.000015,0.000184,0.000003,0.813076,0.059135,0.149946,0.659023,0.011063,0.096104,0.024729,0.022120,0.933096,0.044785,1.138389e-01,-3.253999e-03,138_d_a.wav
0.000626,0.006033,0.018036,0.000103,0.000365,0.000847,0.973991,0.072500,0.372951,0.133621,0.036082,0.172493,0.212354,0.012317,0.976742,0.010941,-8.253267e-02,-9.666609e-02,139_a_q.wav
0.000272,0.001167,0.004989,0.000032,0.000141,0.000166,0.993233,0.064532,0.401021,0.112316,0.047869,0.151597,0.222663,0.017452,0.970806,0.011743,-9.451667e-02,2.071821e-02,13_a_q.wav
0.000050,0.000014,0.005426,0.000001,0.000020,0.000002,0.994488,0.064480,0.332672,0.169068,0.056599,0.139605,0.237575,0.023013,0.949442,0.027545,-2.102529e-02,1.290091e-01,140_a_q.wav
